Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2058.43652344,2019-09-01,2019-09-14
2,Man City,ENG,1,2046.64880371,2019-09-01,2019-09-14
3,Barcelona,ESP,1,1982.32312012,2019-09-01,2019-09-14
4,Bayern,GER,1,1946.57128906,2019-09-01,2019-09-14
5,Tottenham,ENG,1,1890.06079102,2019-09-02,2019-09-14
6,Atletico,ESP,1,1888.06140137,2019-09-02,2019-09-14
7,Arsenal,ENG,1,1873.99523926,2019-09-02,2019-09-15
8,Juventus,ITA,1,1872.23620605,2019-09-01,2019-09-14
9,Chelsea,ENG,1,1864.28173828,2019-09-01,2019-09-14
10,Ajax,NED,1,1845.06762695,2019-09-02,2019-09-14
11,Real Madrid,ESP,1,1840.21044922,2019-09-02,2019-09-14
12,Man United,ENG,1,1840.04699707,2019-09-01,2019-09-14
13,Paris SG,FRA,1,1822.31396484,2019-09-01,2019-09-14
14,Porto,POR,1,1816.38696289,2019-09-02,2019-09-15
15,Dortmund,GER,1,1814.30175781,2019-09-02,2019-09-14
16,Benfica,POR,1,1808.16760254,2019-09-02,2019-09-14
17,RB Leipzig,GER,1,1806.24975586,2019-09-02,2019-09-14
18,Valencia,ESP,1,1800.54223633,2019-09-02,2019-09-14
19,Napoli,ITA,1,1800.26379395,2019-09-02,2019-09-14
20,Salzburg,AUT,1,1774.71826172,2019-09-01,2019-09-14
21,Leverkusen,GER,1,1769.90881348,2019-09-01,2019-09-14
22,Everton,ENG,1,1769.76293945,2019-09-02,2019-09-15
23,Sevilla,ESP,1,1762.6619873,2019-08-31,2019-09-15
24,Shakhtar,UKR,1,1760.72167969,2019-09-02,2019-09-18
25,Leicester,ENG,1,1759.80310059,2019-09-02,2019-09-14
26,Frankfurt,GER,1,1758.23925781,2019-09-02,2019-09-14
27,Crystal Palace,ENG,1,1752.69250488,2019-09-01,2019-09-14
28,Getafe,ESP,1,1749.26806641,2019-09-01,2019-09-15
29,Bilbao,ESP,1,1744.93469238,2019-09-02,2019-09-13
30,West Ham,ENG,1,1744.32019043,2019-09-02,2019-09-16
31,PSV,NED,1,1738.59277344,2019-09-02,2019-09-14
32,Roma,ITA,1,1738.18078613,2019-09-02,2019-09-15
33,Atalanta,ITA,1,1737.90332031,2019-09-02,2019-09-15
34,Inter,ITA,1,1735.31933594,2019-09-02,2019-09-14
35,Wolves,ENG,1,1732.87780762,2019-09-02,2019-09-14
36,Hoffenheim,GER,1,1731.45483398,2019-09-01,2019-09-15
37,Lyon,FRA,1,1726.94177246,2019-09-02,2019-09-13
38,Sociedad,ESP,1,1720.48620605,2019-09-02,2019-09-14
39,Villarreal,ESP,1,1720.02148438,2019-09-02,2019-09-14
40,Sporting,POR,1,1716.87634277,2019-09-02,2019-09-15
41,Wolfsburg,GER,1,1716.10742188,2019-09-02,2019-09-13
42,Olympiakos,GRE,1,1714.48583984,2019-09-02,2019-09-18
43,Newcastle,ENG,1,1712.8638916,2019-09-02,2019-09-14
44,Espanyol,ESP,1,1710.20263672,2019-09-02,2019-09-15
45,Werder,GER,1,1700.38500977,2019-09-02,2019-09-14
46,Milan,ITA,1,1700.00500488,2019-09-01,2019-09-15
47,Eibar,ESP,1,1699.77734375,2019-09-02,2019-09-15
48,Torino,ITA,1,1698.63977051,2019-09-02,2019-09-16
49,Gladbach,GER,1,1694.18127441,2019-09-02,2019-09-14
50,Burnley,ENG,1,1693.33630371,2019-09-02,2019-09-14
51,Levante,ESP,1,1692.57275391,2019-09-02,2019-09-14
52,Alaves,ESP,1,1691.00891113,2019-09-02,2019-09-15
53,Bournemouth,ENG,1,1688.30773926,2019-09-02,2019-09-15
54,Celta,ESP,1,1685.36755371,2019-09-02,2019-09-15
55,Brugge,BEL,1,1682.53271484,2019-09-02,2019-09-14
56,Dinamo Zagreb,CRO,1,1682.29309082,2019-09-01,2019-09-18
57,Southampton,ENG,1,1681.31323242,2019-09-01,2019-09-14
58,Betis,ESP,1,1676.9642334,2019-09-01,2019-09-15
59,Zenit,RUS,1,1675.96704102,2019-09-02,2019-09-17
60,Lazio,ITA,1,1670.62719727,2019-09-02,2019-09-15
61,Young Boys,SUI,1,1663.72375488,2019-09-02,2019-09-23
62,Lille,FRA,1,1663.50463867,2019-09-02,2019-09-13
63,FC Krasnodar,RUS,1,1659.76245117,2019-09-02,2019-09-15
64,Watford,ENG,1,1657.23352051,2019-09-02,2019-09-15
65,Schalke,GER,1,1657.18029785,2019-09-02,2019-09-15
66,Osasuna,ESP,1,1657.08581543,2019-09-02,2019-09-15
67,CSKA Moskva,RUS,1,1650.03015137,2019-09-02,2019-09-15
68,Leganes,ESP,1,1647.7734375,2019-09-02,2019-09-14
69,Dynamo Kyiv,UKR,1,1645.8125,2019-09-02,2019-09-23
70,Slavia Praha,CZE,1,1645.22949219,2019-09-02,2019-09-17
71,PAOK,GRE,1,1642.54345703,2019-09-02,2019-09-23
72,Sheffield United,ENG,1,1636.99914551,2019-09-02,2019-09-14
73,Saint-Etienne,FRA,1,1636.89013672,2019-09-02,2019-09-15
74,Genk,BEL,1,1636.82617188,2019-09-02,2019-09-13
75,Marseille,FRA,1,1636.54736328,2019-09-02,2019-09-15
76,Rennes,FRA,1,1636.0892334,2019-09-02,2019-09-14
77,Norwich,ENG,1,1635.68774414,2019-09-02,2019-09-14
78,Valladolid,ESP,1,1627.91687012,2019-09-02,2019-09-15
79,Brighton,ENG,1,1626.53405762,2019-09-02,2019-09-14
80,Huesca,ESP,2,1625.63244629,2019-09-09,2019-09-23
81,Girona,ESP,2,1624.32592773,2019-09-09,2019-09-23
82,Mainz,GER,1,1623.76269531,2019-09-09,2019-09-14
83,Braga,POR,1,1623.58459473,2019-09-09,2019-09-13
84,Hertha,GER,1,1622.37109375,2019-09-09,2019-09-14
85,Granada,ESP,1,1621.09289551,2019-09-09,2019-09-15
86,Lok Moskva,RUS,1,1618.22766113,2019-09-09,2019-09-18
87,Aston Villa,ENG,1,1618.18054199,2019-09-09,2019-09-16
88,West Brom,ENG,2,1615.88635254,2019-09-02,2019-09-14
89,Celtic,SCO,1,1612.22753906,2019-09-02,2019-09-23
90,Duesseldorf,GER,1,1611.57080078,2019-09-02,2019-09-13
91,Nice,FRA,1,1610.71679688,2019-09-02,2019-09-14
92,Basel,SUI,1,1610.63903809,2019-09-02,2019-09-23
93,Freiburg,GER,1,1610.11682129,2019-09-02,2019-09-15
94,Montpellier,FRA,1,1609.61462402,2019-09-02,2019-09-14
95,APOEL,CYP,0,1606.67053223,2019-09-02,2019-09-23
96,Besiktas,TUR,1,1603.41259766,2019-09-02,2019-09-23
97,Feyenoord,NED,1,1603.0847168,2019-09-02,2019-09-15
98,Reims,FRA,1,1599.42773438,2019-09-02,2019-09-15
99,Alkmaar,NED,1,1596.34106445,2019-09-02,2019-09-14
100,Gent,BEL,1,1592.03259277,2019-09-02,2019-09-15
None,LASK,AUT,1,1591.68652344,2019-09-02,2019-09-14
None,Fulham,ENG,2,1589.8828125,2019-08-31,2019-09-14
None,Swansea,ENG,2,1589.34008789,2019-09-01,2019-09-14
None,Stuttgart,GER,2,1588.35595703,2019-09-03,2019-09-14
None,Galatasaray,TUR,1,1588.32287598,2019-08-31,2019-09-18
None,Cardiff,ENG,2,1587.01867676,2019-08-31,2019-09-13
None,Cadiz,ESP,2,1585.42077637,2019-09-07,2019-09-23
None,Standard,BEL,1,1584.37060547,2019-09-02,2019-09-14
None,Augsburg,GER,1,1581.83703613,2019-09-02,2019-09-14
None,Nantes,FRA,1,1580.80664062,2019-09-01,2019-09-15
None,Rayo Vallecano,ESP,2,1579.55664062,2019-09-09,2019-09-23
None,Sampdoria,ITA,1,1579.53552246,2019-09-02,2019-09-14
None,Leeds,ENG,2,1578.7833252,2019-09-01,2019-09-15
None,Fiorentina,ITA,1,1576.68896484,2019-09-02,2019-09-14
None,Angers,FRA,1,1574.08044434,2019-09-01,2019-09-13
None,Bologna,ITA,1,1573.26928711,2019-08-31,2019-09-15
None,Koeln,GER,1,1571.67919922,2019-09-01,2019-09-14
None,Sassuolo,ITA,1,1571.10095215,2019-09-02,2019-09-15
None,Partizan,SRB,0,1570.81933594,2019-08-30,2019-09-23
None,FC Kobenhavn,DEN,1,1569.9810791,2019-09-02,2019-09-15
None,Nimes,FRA,1,1568.89367676,2019-09-01,2019-09-14
None,Spartak Moskva,RUS,1,1567.56518555,2019-09-02,2019-09-23
None,Mallorca,ESP,1,1566.44641113,2019-09-02,2019-09-13
None,Trabzonspor,TUR,1,1562.70458984,2019-09-02,2019-09-23
None,Bordeaux,FRA,1,1560.62451172,2019-09-01,2019-09-14
None,Rostov,RUS,1,1559.23046875,2019-09-01,2019-09-23
None,Bueyueksehir,TUR,1,1558.3112793,2019-09-02,2019-09-23
None,CFR Cluj,ROM,1,1557.53112793,2019-09-01,2019-09-13
None,Almeria,ESP,2,1556.85791016,2019-09-08,2019-09-23
None,Malaga,ESP,2,1556.42663574,2019-09-08,2019-09-23
None,Hamburg,GER,2,1555.88549805,2019-09-02,2019-09-23
None,Rangers,SCO,1,1555.75268555,2019-09-02,2019-09-23
None,Apollon Lemesos,CYP,0,1555.51379395,2019-08-30,2019-09-23
None,Depor,ESP,2,1554.65344238,2019-09-08,2019-09-23
None,Union Berlin,GER,1,1554.58752441,2019-09-01,2019-09-14
None,Vitesse,NED,1,1552.91491699,2019-09-02,2019-09-14
None,Derby,ENG,2,1552.67248535,2019-09-01,2019-09-13
None,Udinese,ITA,1,1551.97033691,2019-09-02,2019-09-14
None,AEK,GRE,1,1551.6920166,2019-09-02,2019-09-23
None,Bristol City,ENG,2,1550.8170166,2019-09-01,2019-09-14
None,Malmoe,SWE,1,1549.90222168,2019-09-02,2019-09-15
None,Genoa,ITA,1,1548.41296387,2019-09-02,2019-09-15
None,Gijon,ESP,2,1546.90637207,2019-09-09,2019-09-23
None,Empoli,ITA,2,1546.18383789,2019-08-31,2019-09-23
None,Crvena Zvezda,SRB,0,1544.68859863,2019-08-30,2019-09-18
None,Fenerbahce,TUR,1,1542.67285156,2019-09-02,2019-09-23
None,Monaco,FRA,1,1541.21350098,2019-09-02,2019-09-15
None,Brentford,ENG,2,1539.75195312,2019-09-01,2019-09-14
None,Strasbourg,FRA,1,1539.28344727,2019-09-02,2019-09-14
None,Zaragoza,ESP,2,1539.20544434,2019-09-09,2019-09-23
None,Spal,ITA,1,1536.79736328,2019-08-31,2019-09-15
None,Albacete,ESP,2,1533.87561035,2019-09-08,2019-09-23
